,line_id,name,shortName,mode,networkId,impactedObjects,file_lastUpdatedDate
77,line:IDFM:C00062,Express 60,60,Bus,network:IDFM:1081,"[{'disruptionIds': ['31c2d100-a8be-11ef-a448-0a58a9feac02', '4d6f9604-b913-11ee-a6d1-0a58a9feac02', '8e97c468-a71e-11ef-845d-0a58a9feac02'], 'id': 'line:IDFM:C00062', 'name': 'Express 60', 'type': 'line'}, {'disruptionIds': ['9638167c-a7e7-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:18008', 'name': 'Saint Etienne', 'type': 'stop_point'}, {'disruptionIds': ['9638167c-a7e7-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:18007', 'name': 'Saint Etienne', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
78,line:IDFM:C00188,89,89,Bus,network:IDFM:1081,"[{'disruptionIds': ['7a7f8c34-ad74-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:20769', 'name': 'Einstein', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
79,line:IDFM:C00500,3917,3917,Bus,network:IDFM:1081,"[{'disruptionIds': ['83e05a8a-a8bd-11ef-ab9b-0a58a9feac02'], 'id': 'line:IDFM:C00500', 'name': '3917', 'type': 'line'}]",2024-12-06T13:50:22.638Z
80,line:IDFM:C00507,3928C,3928C,Bus,network:IDFM:1081,"[{'disruptionIds': ['92ab2ac6-9a9a-11ef-b4de-0a58a9feac02'], 'id': 'line:IDFM:C00507', 'name': '3928C', 'type': 'line'}]",2024-12-06T13:50:22.638Z
81,line:IDFM:C00508,3928D,3928D,Bus,network:IDFM:1081,"[{'disruptionIds': ['da28a25a-ab1d-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00508', 'name': '3928D', 'type': 'line'}]",2024-12-06T13:50:22.638Z
82,line:IDFM:C00531,3930A,3930A,Bus,network:IDFM:1081,"[{'disruptionIds': ['92ab2ac6-9a9a-11ef-b4de-0a58a9feac02'], 'id': 'line:IDFM:C00531', 'name': '3930A', 'type': 'line'}]",2024-12-06T13:50:22.638Z
83,line:IDFM:C00517,3930D,3930D,Bus,network:IDFM:1081,"[{'disruptionIds': ['da28a25a-ab1d-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00517', 'name': '3930D', 'type': 'line'}]",2024-12-06T13:50:22.638Z
84,line:IDFM:C00522,3935A,3935A,Bus,network:IDFM:1081,"[{'disruptionIds': ['12a68f5e-9613-11ef-b0c7-0a58a9feac02'], 'id': 'line:IDFM:C00522', 'name': '3935A', 'type': 'line'}]",2024-12-06T13:50:22.638Z
85,line:IDFM:C00182,A,A,Bus,network:IDFM:1081,"[{'disruptionIds': ['ffa40b4e-6ec5-11ef-a0d3-0a58a9feac02'], 'id': 'line:IDFM:C00182', 'name': 'A', 'type': 'line'}]",2024-12-06T13:50:22.638Z
86,line:IDFM:C00772,1201,1201,Bus,network:IDFM:1082,"[{'disruptionIds': ['d69e6e92-ad68-11ef-845d-0a58a9feac02'], 'id': 'network:IDFM:1082', 'name': 'Cergy-Pontoise Confluence', 'type': 'network'}]",2024-12-06T13:50:22.638Z
87,line:IDFM:C00769,1202,1202,Bus,network:IDFM:1082,"[{'disruptionIds': ['d69e6e92-ad68-11ef-845d-0a58a9feac02'], 'id': 'network:IDFM:1082', 'name': 'Cergy-Pontoise Confluence', 'type': 'network'}]",2024-12-06T13:50:22.638Z
88,line:IDFM:C00763,1203,1203,Bus,network:IDFM:1082,"[{'disruptionIds': ['d69e6e92-ad68-11ef-845d-0a58a9feac02'], 'id': 'network:IDFM:1082', 'name': 'Cergy-Pontoise Confluence', 'type': 'network'}]",2024-12-06T13:50:22.638Z
89,line:IDFM:C02226,1204,1204,Bus,network:IDFM:1082,"[{'disruptionIds': ['d69e6e92-ad68-11ef-845d-0a58a9feac02'], 'id': 'network:IDFM:1082', 'name': 'Cergy-Pontoise Confluence', 'type': 'network'}]",2024-12-06T13:50:22.638Z
90,line:IDFM:C01475,1205,1205,Bus,network:IDFM:1082,"[{'disruptionIds': ['d69e6e92-ad68-11ef-845d-0a58a9feac02'], 'id': 'network:IDFM:1082', 'name': 'Cergy-Pontoise Confluence', 'type': 'network'}]",2024-12-06T13:50:22.638Z
